,Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat,log_Fiyat,Ford,Opel,Renault,Skoda,Toyota,Volkswagen,Vites Tipi,Hasar Durumu,Depo_Hacmi_Kullanabilirliği,Ters_Motor_Gücü,Yakıt_Ekonomisi,Engine_Ratio
214,9,174000.0,1598,105,4.7,55.0,860000,13.664687668229691,False,False,False,False,False,True,1.5,0,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
216,9,86000.0,1390,160,6.3,55.0,887500,13.696163800331709,False,False,False,False,False,True,1.5,0,8.730158730158731,0.00625,0.039375,8.6875
220,6,75000.0,1598,120,4.0,66.0,1300000,14.077874822431765,False,False,False,False,False,True,1.0,1,16.5,0.008333333333333333,0.03333333333333333,13.316666666666666
221,10,161000.0,1598,90,4.3,45.0,705000,13.465953081794405,False,False,False,False,False,True,1.5,0,10.465116279069768,0.011111111111111112,0.04777777777777778,17.755555555555556
222,8,248000.0,1598,105,4.7,55.0,755000,13.534473028231162,False,False,False,False,False,True,1.5,0,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
223,9,260000.0,1422,90,3.5,45.0,618900,13.335698987727453,False,False,False,False,False,True,1.5,0,12.857142857142858,0.011111111111111112,0.03888888888888889,15.8
224,12,84000.0,1197,105,5.7,55.0,780000,13.567049198665774,False,False,False,False,False,True,1.0,1,9.649122807017543,0.009523809523809525,0.05428571428571429,11.4
225,6,80000.0,1395,125,5.0,55.0,965000,13.779883380321124,False,False,False,False,False,True,1.5,1,11.0,0.008,0.04,11.16
226,7,137000.0,1395,125,5.0,50.0,1005000,13.820498099475314,False,False,False,False,False,True,1.5,1,10.0,0.008,0.04,11.16
227,8,152000.0,1598,105,4.5,55.0,760000,13.541073712262515,False,False,False,False,False,True,1.0,0,12.222222222222221,0.009523809523809525,0.04285714285714286,15.219047619047618
228,8,184000.0,1598,120,4.0,66.0,1150000,13.955272500339433,False,False,False,False,False,True,1.0,1,16.5,0.008333333333333333,0.03333333333333333,13.316666666666666
230,12,185000.0,1198,70,5.5,45.0,520000,13.16158409055761,False,False,False,False,False,True,1.0,0,8.181818181818182,0.014285714285714285,0.07857142857142857,17.114285714285714
231,6,113000.0,1395,125,5.3,50.0,1125000,13.933293593620657,False,False,False,False,False,True,1.5,1,9.433962264150944,0.008,0.0424,11.16
232,7,91615.0,1197,90,4.7,45.0,732000,13.503535792943449,False,False,False,False,False,True,1.0,1,9.574468085106382,0.011111111111111112,0.052222222222222225,13.3
233,8,58277.0,999,75,5.1,45.0,598000,13.301346032932768,False,False,False,False,False,True,1.0,0,8.823529411764707,0.013333333333333334,0.068,13.32
234,11,175000.0,1197,105,4.8,50.0,810000,13.604789526648622,False,False,False,False,False,True,1.5,0,10.416666666666668,0.009523809523809525,0.045714285714285714,11.4
235,10,158000.0,1197,105,5.4,55.0,718000,13.484224848030362,False,False,False,False,False,True,1.5,1,10.185185185185185,0.009523809523809525,0.051428571428571435,11.4
236,13,220000.0,1390,122,6.0,55.0,705000,13.465953081794405,False,False,False,False,False,True,1.5,0,9.166666666666666,0.00819672131147541,0.04918032786885246,11.39344262295082
237,12,179000.0,1598,105,4.7,55.0,660000,13.399995114002609,False,False,False,False,False,True,1.5,0,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
238,11,162500.0,1199,75,3.8,45.0,458000,13.034624463096321,False,False,False,False,False,True,1.0,0,11.842105263157896,0.013333333333333334,0.050666666666666665,15.986666666666666
239,10,160000.0,1598,105,4.5,55.0,755000,13.534473028231162,False,False,False,False,False,True,1.0,0,12.222222222222221,0.009523809523809525,0.04285714285714286,15.219047619047618
240,7,227000.0,1598,90,3.8,50.0,749000,13.526494262499357,False,False,False,False,False,True,1.0,1,13.157894736842106,0.011111111111111112,0.042222222222222223,17.755555555555556
241,12,142500.0,1390,122,6.0,55.0,625000,13.345506928718539,False,False,False,False,False,True,1.5,0,9.166666666666666,0.00819672131147541,0.04918032786885246,11.39344262295082
242,7,218000.0,1598,120,4.0,66.0,1300000,14.077874822431765,False,False,False,False,False,True,1.5,1,16.5,0.008333333333333333,0.03333333333333333,13.316666666666666
243,10,100250.0,1197,105,5.7,55.0,770000,13.554145793829866,False,False,False,False,False,True,1.0,1,9.649122807017543,0.009523809523809525,0.05428571428571429,11.4
244,8,235000.0,1598,105,3.8,50.0,785000,13.573438996764546,False,False,False,False,False,True,1.0,0,13.157894736842106,0.009523809523809525,0.03619047619047619,15.219047619047618
245,7,112000.0,1598,120,4.0,66.0,1035000,13.849911984681606,False,False,False,False,False,True,1.5,1,16.5,0.008333333333333333,0.03333333333333333,13.316666666666666
246,7,155000.0,1598,120,4.0,66.0,1475000,14.204168547756057,False,False,False,False,False,True,1.5,1,16.5,0.008333333333333333,0.03333333333333333,13.316666666666666
247,4,67000.0,1598,120,4.0,59.0,1170000,13.972514306773938,False,False,False,False,False,True,1.5,1,14.75,0.008333333333333333,0.03333333333333333,13.316666666666666
248,6,69000.0,999,110,5.1,50.0,789500,13.579155112677833,False,False,False,False,False,True,1.0,1,9.803921568627452,0.00909090909090909,0.04636363636363636,9.081818181818182
249,8,165000.0,1598,105,4.7,55.0,845000,13.64709190633931,False,False,False,False,False,True,1.5,1,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
250,7,208000.0,1395,125,5.0,55.0,919000,13.731041401337825,False,False,False,False,False,True,1.5,1,11.0,0.008,0.04,11.16
251,13,185000.0,1390,122,6.2,55.0,615000,13.329377546788654,False,False,False,False,False,True,1.0,0,8.870967741935484,0.00819672131147541,0.05081967213114755,11.39344262295082
254,8,106000.0,1395,125,5.0,66.0,1350000,14.115615150414612,False,False,False,False,False,True,1.5,1,13.2,0.008,0.04,11.16
255,12,157000.0,1598,90,4.2,45.0,600000,13.304684934198283,False,False,False,False,False,True,1.0,1,10.714285714285714,0.011111111111111112,0.04666666666666667,17.755555555555556
256,9,151000.0,1197,90,4.7,45.0,615000,13.329377546788654,False,False,False,False,False,True,1.5,0,9.574468085106382,0.011111111111111112,0.052222222222222225,13.3
257,11,98000.0,1395,140,4.7,50.0,680000,13.42984807715229,False,False,False,False,False,True,1.5,0,10.638297872340425,0.007142857142857143,0.03357142857142857,9.964285714285714
258,10,145000.0,1598,105,4.7,55.0,755000,13.534473028231162,False,False,False,False,False,True,1.5,1,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
259,7,115000.0,1422,90,3.5,45.0,764000,13.546323068148657,False,False,False,False,False,True,1.5,0,12.857142857142858,0.011111111111111112,0.03888888888888889,15.8
260,10,184000.0,1390,85,5.8,45.0,690000,13.444446876573442,False,False,False,False,False,True,1.5,1,7.758620689655173,0.011764705882352941,0.06823529411764706,16.352941176470587
261,7,154000.0,1422,90,3.5,45.0,868000,13.673946993642486,False,False,False,False,False,True,1.5,1,12.857142857142858,0.011111111111111112,0.03888888888888889,15.8
262,6,82500.0,999,110,5.0,50.0,997000,13.812506048943975,False,False,False,False,False,True,1.5,1,10.0,0.00909090909090909,0.045454545454545456,9.081818181818182
264,12,117000.0,1390,122,6.0,55.0,685000,13.437174117244362,False,False,False,False,False,True,1.5,1,9.166666666666666,0.00819672131147541,0.04918032786885246,11.39344262295082
266,6,79000.0,1197,90,4.7,45.0,700000,13.458835614025542,False,False,False,False,False,True,1.0,1,9.574468085106382,0.011111111111111112,0.052222222222222225,13.3
