;Ürün Kodu;Marka;Seri;Model;Araç Yılı;Kilometre;Vites Tipi;Yakıt Tipi;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Çekiş Tipi;Ortalama Yakıt Tüketimi;Depo Hacmi;Boya/Değişen Bilgisi;Fiyat
491;23719272;Skoda;Fabia;1.0 GreenTec Style;2017;49.960 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;1 değişen;810.000
1261;23473619;Skoda;Fabia;1.0 Style;2017;66.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;"
Tamamı orjinal
";780.000
804;23485012;Skoda;Fabia;1.0 GreenTec Style;2017;75.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;Belirtilmemiş;799.750
119;23354656;Skoda;Fabia;1.0 GreenTec Style;2017;81.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;Belirtilmemiş;829.999
842;22853737;Skoda;Fabia;1.2 TSI Style;2017;102.500 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";850.000
29;23791892;Skoda;Fabia;1.2 TSI Style;2017;46.000 km;Yarı Otomatik;Benzin;Hatchback/5;Kırmızı;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";925.000
1104;23547028;Skoda;Fabia;1.2 TSI Style;2017;73.500 km;Yarı Otomatik;Benzin;-;Hatchback/5;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;Belirtilmemiş;810.000
976;23594017;Skoda;Fabia;1.2 TSI Style;2017;82.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";780.000
397;23661690;Skoda;Fabia;1.2 TSI Style;2016;101.500 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;2 boyalı;710.000
787;23649524;Skoda;Fabia;1.2 TSI Style;2016;102.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;1 boyalı;740.000
399;23661062;Skoda;Fabia;1.2 TSI Style;2016;109.500 km;Yarı Otomatik;Benzin;Hatchback/5;Kırmızı;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;Belirtilmemiş;805.000
536;23641686;Skoda;Fabia;1.2 TSI Style;2016;113.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";875.000
127;23626896;Skoda;Fabia;1.2 TSI Style;2016;126.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";697.750
477;23718733;Skoda;Fabia;1.2 TSI Style;2016;30.000 km;Yarı Otomatik;Benzin;Station wagon;Gri;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;2 boyalı;800.000
854;23627774;Skoda;Fabia;1.2 TSI Style;2016;40.200 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;Belirtilmemiş;810.000
1140;23529599;Skoda;Fabia;1.2 TSI Style;2016;41.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;3 boyalı;790.000
317;23748248;Skoda;Fabia;1.2 TSI Style;2016;44.800 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;2 değişen, 1 boyalı;745.000
1042;23572357;Skoda;Fabia;1.2 TSI Style;2016;46.000 km;Yarı Otomatik;Benzin;Station wagon;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";825.000
313;23658292;Skoda;Fabia;1.2 TSI Style;2016;61.039 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;2 boyalı;885.000
1209;23495479;Skoda;Fabia;1.2 TSI Style;2016;63.500 km;Yarı Otomatik;Benzin;-;Hatchback/5;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;Belirtilmemiş;830.000
605;23319859;Skoda;Fabia;1.2 TSI Ambition;2016;67.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;1 boyalı;735.000
643;23686541;Skoda;Fabia;1.2 TSI Style;2016;77.500 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";769.000
12;23797902;Skoda;Fabia;1.2 TSI Style;2016;92.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";820.000
713;23665731;Skoda;Fabia;1.2 TSI Style;2016;97.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;1 değişen;810.000
1050;23569506;Skoda;Fabia;1.2 TSI Style;2015;105.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;1 değişen, 1 boyalı;740.000
598;23697505;Skoda;Fabia;1.2 TSI Style;2015;108.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";765.000
1139;23528212;Skoda;Fabia;1.2 TSI Style;2015;115.000 km;Yarı Otomatik;Benzin;Hatchback/5;Mavi;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;7 boyalı;640.000
805;23611991;Skoda;Fabia;1.2 TSI Style;2015;124.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";698.000
1236;23483671;Skoda;Fabia;1.2 TSI Ambition;2015;154.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;1 değişen, 3 boyalı;705.000
130;23627035;Skoda;Fabia;1.2 TSI Ambition;2015;39.419 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;2 değişen;755.000
512;23714663;Skoda;Fabia;1.2 TSI Ambition;2015;81.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";716.000
1147;23147255;Skoda;Fabia;1.2 TSI Style;2015;92.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;4,7 lt;45 lt;Belirtilmemiş;755.999
1039;23574172;Skoda;Fabia;1.2 TSI Ambiente;2011;125.000 km;Düz;Benzin;-;Hatchback/5;1197 cc;105 hp;Önden Çekiş;5,3 lt;45 lt;Belirtilmemiş;510.000
110;23777325;Skoda;Fabia;1.2 TSI Ambiente Dinamik;2011;240.000 km;Düz;Benzin;Hatchback/5;Beyaz;1197 cc;105 hp;Önden Çekiş;5,3 lt;45 lt;5 boyalı;428.000
176;23690979;Skoda;Octavia;1.5 e-Tec Premium;2023;7.772 km;Yarı Otomatik;Benzin;Hatchback/5;Gri;1498 cc;150 hp;Önden Çekiş;4,7 lt;48 lt;"
Tamamı orjinal
";1.495.000
238;23609331;Skoda;Octavia;1.5 e-Tec Premium;2022;7.083 km;Yarı Otomatik;Benzin;Hatchback/5;Gri;1498 cc;150 hp;Önden Çekiş;4,7 lt;48 lt;"
Tamamı orjinal
";1.430.000
