,Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat,log_Fiyat,Ford,Opel,Renault,Skoda,Toyota,Volkswagen,Vites Tipi,Hasar Durumu
3886,12,92000.0,1364,90,4.8,55.0,675000,13.422467969854667,False,False,False,False,True,False,1.0,0
3887,12,178500.0,1364,90,4.7,55.0,610000,13.321214236149494,False,False,False,False,True,False,1.0,1
3889,11,150000.0,1598,124,7.0,55.0,785000,13.573438996764546,False,False,False,False,True,False,1.0,1
3890,7,125000.0,1364,90,4.1,55.0,830000,13.62918097977278,False,False,False,False,True,False,1.5,0
3891,8,126500.0,1598,132,6.1,55.0,875000,13.681979165339751,False,False,False,False,True,False,2.0,0
3892,10,108000.0,1364,90,4.1,55.0,700000,13.458835614025542,False,False,False,False,True,False,1.5,1
3893,8,167000.0,998,69,4.3,42.0,565000,13.244581010128577,False,False,False,False,True,False,1.0,1
3894,11,150000.0,1329,99,6.0,55.0,625000,13.345506928718539,False,False,False,False,True,False,1.0,0
3895,8,228000.0,1364,90,4.1,55.0,740000,13.514405465180353,False,False,False,False,True,False,1.5,0
3896,5,35000.0,1598,132,6.3,55.0,950000,13.764217263576723,False,False,False,False,True,False,1.0,1
3897,8,175000.0,1364,90,4.1,55.0,795000,13.58609739363647,False,False,False,False,True,False,1.5,1
3898,12,209500.0,1598,132,6.6,60.0,750000,13.527828485512494,False,False,False,False,True,False,1.0,1
3899,10,82500.0,1598,132,5.7,50.0,875000,13.681979165339751,False,False,False,False,True,False,2.0,1
3900,6,154000.0,1598,132,6.1,50.0,819000,13.615839362835207,False,False,False,False,True,False,2.0,1
3901,5,124952.0,1364,90,4.1,55.0,849900,13.652873974486718,False,False,False,False,True,False,1.5,0
3902,12,130000.0,1364,90,4.2,42.0,650000,13.38472764187182,False,False,False,False,True,False,1.5,1
3904,3,39500.0,1598,132,5.5,50.0,1000000,13.815510557964274,False,False,False,False,True,False,1.5,1
3905,6,95000.0,1329,99,5.8,55.0,829000,13.627975434117433,False,False,False,False,True,False,1.0,0
3906,8,118500.0,1329,99,5.8,55.0,755000,13.534473028231162,False,False,False,False,True,False,1.0,1
3907,2,28000.0,1490,125,5.8,50.0,1000000,13.815510557964274,False,False,False,False,True,False,2.0,1
3908,7,89000.0,1329,99,5.8,55.0,716000,13.481435445942783,False,False,False,False,True,False,1.0,0
3909,11,290000.0,1364,90,4.7,55.0,470000,13.060487973686241,False,False,False,False,True,False,1.0,0
3910,11,102000.0,1364,90,4.7,55.0,679000,13.428376406540833,False,False,False,False,True,False,1.0,1
3911,7,90000.0,1598,132,6.3,55.0,900000,13.710150042306449,False,False,False,False,True,False,1.0,1
3912,7,72400.0,1329,99,5.8,55.0,875000,13.681979165339751,False,False,False,False,True,False,1.0,0
3913,10,165000.0,1364,90,4.8,55.0,690000,13.444446876573442,False,False,False,False,True,False,1.5,0
3914,10,178000.0,1598,132,6.1,55.0,805000,13.5985975564007,False,False,False,False,True,False,2.0,0
3915,8,153930.0,1329,99,5.8,55.0,700000,13.458835614025542,False,False,False,False,True,False,1.0,1
3916,6,135000.0,1329,99,5.8,55.0,715000,13.480037821676145,False,False,False,False,True,False,1.0,0
3918,9,204000.0,1364,90,4.1,55.0,820000,13.617059619240436,False,False,False,False,True,False,1.5,0
3919,11,128000.0,1329,99,6.0,55.0,600000,13.304684934198283,False,False,False,False,True,False,1.0,0
3920,3,18400.0,1598,132,5.5,50.0,1100000,13.9108207377686,False,False,False,False,True,False,2.0,1
3921,3,63683.0,1598,132,5.5,50.0,1127000,13.935069793021913,False,False,False,False,True,False,2.0,0
3922,9,175000.0,1364,90,4.1,55.0,720000,13.487006490992238,False,False,False,False,True,False,1.5,0
3923,3,79000.0,1598,132,5.5,50.0,1040000,13.854731271117556,False,False,False,False,True,False,2.0,1
3924,11,157000.0,1329,99,6.0,55.0,520000,13.16158409055761,False,False,False,False,True,False,1.0,0
3925,11,111000.0,1364,90,4.7,55.0,710000,13.473020249017498,False,False,False,False,True,False,1.0,1
3926,10,53000.0,1598,132,6.3,55.0,829000,13.627975434117433,False,False,False,False,True,False,1.0,1
3929,10,120000.0,1364,90,4.2,50.0,770000,13.554145793829866,False,False,False,False,True,False,1.5,1
3930,9,125000.0,1598,132,5.7,50.0,775000,13.560618308335483,False,False,False,False,True,False,2.0,1
3931,2,14600.0,1490,125,5.8,50.0,1032000,13.847009225023646,False,False,False,False,True,False,2.0,1
3932,10,75000.0,1598,132,6.3,55.0,825000,13.623138665316818,False,False,False,False,True,False,1.0,1
3933,7,80000.0,1329,99,5.8,50.0,700000,13.458835614025542,False,False,False,False,True,False,1.0,0
